user_id,FASHIONABLE_SPORTSWARE_SHOP,TRAINER_SHOP,SPORT_SHOP,RUNNING_SHOP,GREENGROCER,GYM,positive_spend,TAKEAWAY,CHINESE_TAKEAWAY,TAKEAWAY_CURRY,LIQUORE_STORE,WHISKEY_SHOP,WINE_CELLAR,WINE_BAR,WHISKEY_BAR,PUB,G&T_BAR,COCKTAIL_BAR,LOCAL_WATERING_HOLE,BAR,LOCAL_PUB,KEBAB_SHOP,negative_spend,net_spend
59828,307.0,449.0,662.0,406.0,1269.02,240.0,3333.02,78.97999999999999,215.11,297.15,0,0.0,10.0,593.0,515.5,1222.96,523.5,359.0,274.5,790.5,367.15,20.5,5267.849999999999,-1934.8299999999995
16464,346.0,326.0,567.0,602.0,1186.09,240.0,3267.09,154.29,172.25,358.98,0,12.0,99.98,16.5,7.5,1188.07,16.5,12.0,1073.0,881.0,481.21,33.5,4506.78,-1239.6899999999996
2069,257.0,255.0,334.0,576.0,1578.95,240.0,3240.95,94.28999999999999,190.82,350.01,0,74.99,0.0,0.0,0.0,1058.88,0.0,0.0,1002.0,1294.0,393.69,27.0,4485.68,-1244.7300000000005
72283,551.0,196.0,674.0,305.0,1251.2,240.0,3217.2,362.25,321.63,258.76,0,29.99,0.0,9.0,12.0,1056.74,27.0,6.0,777.5,999.0,335.52,238.0,4433.389999999999,-1216.1899999999996
97955,369.0,370.0,431.0,512.0,1289.52,240.0,3211.52,366.94,393.45,344.3,0,0.0,0.0,0.0,0.0,1442.68,0.0,0.0,1140.5,1172.5,430.41,5.0,5295.78,-2084.2599999999998
13072,378.0,748.0,137.0,257.0,1445.26,240.0,3205.26,0.0,0.0,0.0,0,8.99,12.0,80.0,46.0,1214.5,64.0,24.0,1258.0,1501.5,0.0,14.0,4222.99,-1017.7299999999996
16141,497.0,518.0,359.0,350.0,1234.88,240.0,3198.88,638.17,215.31,361.03,0,49.99,8.99,87.5,52.5,1366.26,91.0,73.0,1167.5,1134.0,294.28,39.0,5578.53,-2379.6499999999996
90903,377.0,494.0,281.0,665.0,1127.02,240.0,3184.02,132.65,397.75,191.43,0,0.0,0.0,394.5,465.0,1230.96,470.5,392.5,305.5,659.5,403.48,243.5,5287.27,-2103.2500000000005
88203,425.0,258.0,320.0,590.0,1347.32,240.0,3180.3199999999997,406.54,451.42,169.6,0,0.0,179.96999999999997,395.0,597.5,1055.66,472.5,486.5,517.5,922.0,177.56,258.5,6090.25,-2909.9300000000003
60888,326.0,294.0,423.0,418.0,1456.6,240.0,3157.6,310.62,322.23,298.56,0,0.0,0.0,67.0,28.0,1321.11,44.5,24.5,1274.5,1238.5,416.32,20.5,5366.34,-2208.7400000000002
85568,445.0,518.0,383.0,621.0,942.3100000000001,240.0,3149.31,392.24,204.48000000000002,211.22,0,0.0,0.0,52.5,0.0,1325.93,32.5,35.5,1442.0,1292.0,325.49,24.0,5337.86,-2188.5499999999997
100931,313.0,450.0,430.0,497.0,1209.88,240.0,3139.88,225.91,273.88,169.38,0,49.99,29.99,21.5,13.0,2016.59,37.0,97.5,1334.0,1751.0,359.99,57.0,6436.73,-3296.8499999999995
