,degree_centrality
10371.0,0.002228064702998975
CINEMA,0.27427476493917385
88339.0,0.0030747292901385855
40544,0.000534735528719754
18555.0,0.0030747292901385855
85149,0.000445612940599795
HIPSTER_COFFEE_SHOP,0.24357203333184796
80792.0,0.0027182389376587497
18555,0.00040105164653981553
TOTALLY_A_REAL_COFFEE_SHOP,0.3515886101332383
COFFEE_SHOP,0.3503854551936188
CAFE,0.345617396729201
41378.0,0.002495432467358852
4428.0,0.003030167996078606
A_CAFE,0.34985071966489906
77222.0,0.002049819526759057
LOCAL_RESTAURANT,0.3619268303551535
39262.0,0.002851922819838688
30264,0.000445612940599795
5514.0,0.003119290584198565
A_LOCAL_COFFEE_SHOP,0.35065282295797867
16751.0,0.002762800231718729
72112.0,0.002495432467358852
98064.0,0.003030167996078606
GOURMET_COFFEE_SHOP,0.24063098792388932
59905.0,0.002406309879238893
LOCAL_WATERING_HOLE,0.3625952497660532
72272.0,0.0026291163495387906
23972.0,0.002851922819838688
SANDWICH_SHOP,0.34374582237868184
TOY_SHOP,0.16946660131010205
82454.0,0.0023617485851789135
PRETENTIOUS_COFFEE_SHOP,0.24045274274764938
BAR,0.3628180562363531
16801.0,0.002851922819838688
82454,0.000356490352479836
70075.0,0.003297535760438483
85378.0,0.002762800231718729
2390.0,0.0032529744663785036
97770,0.00040105164653981553
16187.0,0.002941045407958647
60261.0,0.0026291163495387906
PUB,0.3628180562363531
16339.0,0.002941045407958647
60261,0.000267367764359877
COMIC_BOOK_SHOP,0.13863018582059622
46376.0,0.002762800231718729
LUNCH_VAN,0.3452609063767212
64923.0,0.002851922819838688
71037.0,0.003030167996078606
46853.0,0.0022726259970589544
34142.0,0.002049819526759057
DEPARTMENT_STORE,0.19985740385900805
44432.0,0.0028964841138986674
KEBAB_SHOP,0.3463303774341607
77763.0,0.002941045407958647
52587.0,0.0026291163495387906
29259.0,0.0032084131723185243
13927.0,0.0020052582326990777
23958.0,0.002941045407958647
35965,0.0002228064702998975
22814.0,0.002851922819838688
13054.0,0.0029856067020186264
68780.0,0.0032529744663785036
14101.0,0.003030167996078606
78652.0,0.0024508711732988725
8197.0,0.0019161356445791186
71642.0,0.0026291163495387906
WINE_BAR,0.32124236887839225
69266.0,0.002941045407958647
71642,0.000267367764359877
35212.0,0.0023617485851789135
20076.0,0.0033420970544984626
46330,0.000445612940599795
71899.0,0.00267367764359877
11762.0,0.0022726259970589544
92552.0,0.0024508711732988725
19245.0,0.0031638518782585445
37913.0,0.002941045407958647
37913,0.0005792968227797335
62989.0,0.002317187291118934
88637.0,0.002851922819838688
86355.0,0.0022726259970589544
40207.0,0.002762800231718729
96671.0,0.0027182389376587497
30179.0,0.002762800231718729
39111.0,0.00267367764359877
63779.0,0.0031638518782585445
9323.0,0.002228064702998975
81220.0,0.0026291163495387906
9323,8.9122588119959e-05
26316.0,0.0024508711732988725
5347.0,0.002584555055478811
ELECTRONICS_SHOP,0.03841183547970233
92185.0,0.002851922819838688
7170.0,0.003030167996078606
49505.0,0.002941045407958647
97171.0,0.002762800231718729
40054.0,0.0022726259970589544
97171,0.000356490352479836
76258.0,0.0024508711732988725
RESTAURANT,0.3625952497660532
63924.0,0.0031638518782585445
40054,0.0003119290584198565
5164.0,0.0021835034089389953
14894.0,0.0018270130564591596
25778.0,0.002228064702998975
87528.0,0.002941045407958647
LOCAL_PUB,0.3336304086270665
LUNCH_PLACE,0.3451717837886012
90218.0,0.002317187291118934
1828.0,0.0032529744663785036
62065.0,0.0028964841138986674
89210.0,0.002406309879238893
69941.0,0.002851922819838688
48233.0,0.0027182389376587497
94622,0.0006684194108996925
16249.0,0.003030167996078606
75715.0,0.0028964841138986674
20575.0,0.003030167996078606
85529.0,0.0030747292901385855
26695,0.000267367764359877
59294.0,0.002941045407958647
32521.0,0.002851922819838688
35709.0,0.002941045407958647
82519.0,0.002851922819838688
FASHION_SHOP,0.1997237199768281
86899.0,0.003030167996078606
94388.0,0.002228064702998975
86899,0.0004901742346597745
89061.0,0.0029856067020186264
99102.0,0.0028964841138986674
22141.0,0.002584555055478811
99102,0.0005792968227797335
62907.0,0.0029856067020186264
44974.0,0.003654026112918319
FASHIONABLE_SPORTSWARE_SHOP,0.06764404438304888
23613.0,0.002228064702998975
35709,0.000445612940599795
25630.0,0.0027182389376587497
96941.0,0.002762800231718729
SCHOOL_SUPPLY_STORE,0.16683748496056325
1730.0,0.0028073615257787087
79518.0,0.0029856067020186264
47645.0,0.002762800231718729
68657.0,0.0022726259970589544
88448.0,0.0026291163495387906
LOCAL_BOOKSHOP,0.14384385722561382
60284.0,0.0022726259970589544
11202.0,0.00267367764359877
76002.0,0.0026291163495387906
43870.0,0.0031638518782585445
30041.0,0.002495432467358852
65883.0,0.002406309879238893
68078.0,0.0027182389376587497
65883,0.00040105164653981553
5174.0,0.002584555055478811
44380.0,0.002495432467358852
25807.0,0.0028073615257787087
63478.0,0.00267367764359877
25807,0.000534735528719754
11988.0,0.002495432467358852
75661.0,0.0028073615257787087
54117.0,0.0024508711732988725
62387.0,0.0027182389376587497
55042.0,0.002584555055478811
23486.0,0.0027182389376587497
13219.0,0.0022726259970589544
36833.0,0.00267367764359877
TRAINER_SHOP,0.06973842520386792
37223.0,0.002941045407958647
44133.0,0.002851922819838688
BOOKSHOP,0.14125930217013502
97670.0,0.002317187291118934
99691.0,0.002495432467358852
48465.0,0.0028073615257787087
95294.0,0.0026291163495387906
84041.0,0.0030747292901385855
11494.0,0.0028964841138986674
79769.0,0.003030167996078606
29810.0,0.00267367764359877
84579.0,0.0028964841138986674
16155.0,0.0032529744663785036
39252.0,0.0026291163495387906
16155,0.000267367764359877
KIDS_ACTIVITY_CENTRE,0.167416781783343
16779.0,0.0028964841138986674
35034.0,0.002406309879238893
55699.0,0.0031638518782585445
51810.0,0.0025399937614188316
47961.0,0.003030167996078606
76810,0.0008021032930796311
46740.0,0.0024508711732988725
98225.0,0.0025399937614188316
11171.0,0.0026291163495387906
61950.0,0.002851922819838688
81366,0.000356490352479836
35013.0,0.0028073615257787087
51087.0,0.0028964841138986674
83457.0,0.0026291163495387906
7472.0,0.0029856067020186264
87814.0,0.00267367764359877
45355.0,0.0028073615257787087
88707.0,0.00267367764359877
VIDEO_GAME_STORE,0.22806470299897508
CLOTHES_SHOP,0.19950091350652824
23700.0,0.0023617485851789135
TAKEAWAY_CURRY,0.3336304086270665
79304.0,0.002762800231718729
TECH_SHOP,0.03885744842030212
35781.0,0.002851922819838688
50477.0,0.003030167996078606
93167.0,0.003119290584198565
78828.0,0.003030167996078606
40926.0,0.0024508711732988725
11813.0,0.0020052582326990777
16475.0,0.002762800231718729
19800,0.000534735528719754
56384.0,0.0021835034089389953
48479.0,0.0028073615257787087
100934.0,0.0026291163495387906
NERDY_BOOK_STORE,0.13635755982353728
48200.0,0.002584555055478811
20840.0,0.002851922819838688
48200,0.000356490352479836
48764.0,0.002406309879238893
39218.0,0.0020052582326990777
88863.0,0.0028073615257787087
38214.0,0.0029856067020186264
51162.0,0.00178245176239918
WHISKEY_BAR,0.31968272358629296
23428.0,0.0032529744663785036
44472.0,0.0016487678802192414
PET_TOY_SHOP,0.09527204670023617
8982.0,0.002138942114879016
51162,0.000178245176239918
32075.0,0.002495432467358852
DVD_SHOP,0.27267055835301457
73526.0,0.0028073615257787087
CHILDRENDS_SHOP,0.16973396907446192
45712.0,0.002851922819838688
31817.0,0.0032529744663785036
50618.0,0.0025399937614188316
72587.0,0.002228064702998975
88786,0.000356490352479836
50706.0,0.0025399937614188316
65913.0,0.003030167996078606
49386.0,0.003297535760438483
22204,0.000356490352479836
58427.0,0.002584555055478811
43489.0,0.0025399937614188316
44768.0,0.0025399937614188316
23637.0,0.0027182389376587497
59298.0,0.003030167996078606
30760.0,0.0026291163495387906
GAME_SHOP,0.22556927053161624
77380.0,0.0032084131723185243
5261.0,0.0026291163495387906
63045.0,0.002406309879238893
57888.0,0.002317187291118934
5261,0.000445612940599795
65197.0,0.002851922819838688
79518,0.0003119290584198565
87330.0,0.002495432467358852
57888,0.000445612940599795
16615.0,0.002941045407958647
23909.0,0.002495432467358852
53494.0,0.0028964841138986674
57433.0,0.002762800231718729
56327.0,0.00267367764359877
39027.0,0.002941045407958647
17608.0,0.0028073615257787087
17411,0.0001336838821799385
72248.0,0.002228064702998975
13226.0,0.0026291163495387906
1018.0,0.0024508711732988725
INDIAN_RESTAURANT,0.03297535760438483
41000.0,0.0026291163495387906
45331.0,0.002941045407958647
98238.0,0.002495432467358852
63615.0,0.002941045407958647
94157.0,0.0020052582326990777
11431,0.000445612940599795
23047.0,0.0025399937614188316
15896.0,0.0030747292901385855
23727.0,0.0026291163495387906
25253.0,0.0026291163495387906
50481.0,0.0027182389376587497
94358.0,0.002851922819838688
49782.0,0.003119290584198565
54397.0,0.002584555055478811
34969.0,0.002495432467358852
1931.0,0.0029856067020186264
100690.0,0.00267367764359877
68580.0,0.0026291163495387906
35158.0,0.002851922819838688
33284.0,0.0032084131723185243
20801.0,0.0030747292901385855
98468.0,0.0026291163495387906
66821.0,0.002941045407958647
83810.0,0.002851922819838688
24252.0,0.002406309879238893
87599.0,0.0030747292901385855
51294.0,0.0027182389376587497
17487.0,0.0026291163495387906
64608.0,0.0024508711732988725
45219.0,0.0027182389376587497
19015.0,0.0028964841138986674
26568.0,0.0028964841138986674
4832.0,0.0026291163495387906
26568,0.0003119290584198565
97898.0,0.002317187291118934
42196.0,0.00267367764359877
41304.0,0.0029856067020186264
97810.0,0.002495432467358852
19207.0,0.002584555055478811
73963,0.0003119290584198565
92415.0,0.0026291163495387906
31509.0,0.002584555055478811
5501.0,0.0026291163495387906
91387.0,0.002495432467358852
37272.0,0.0022726259970589544
74148,0.00040105164653981553
67591.0,0.00267367764359877
COCKTAIL_BAR,0.3204848268793726
44491.0,0.0026291163495387906
67591,0.000445612940599795
20089.0,0.002851922819838688
87118.0,0.002495432467358852
85885.0,0.002317187291118934
1505.0,0.002762800231718729
87954.0,0.003297535760438483
92283.0,0.003475780936678401
98543.0,0.0024508711732988725
31749.0,0.002941045407958647
39233.0,0.0026291163495387906
42704,0.00040105164653981553
5890.0,0.002584555055478811
89619.0,0.0028964841138986674
4265.0,0.002941045407958647
44107.0,0.0028073615257787087
39467.0,0.002584555055478811
63669.0,0.0035203422307383807
13225.0,0.002762800231718729
57657.0,0.0023617485851789135
48473.0,0.002317187291118934
11563.0,0.0029856067020186264
6315.0,0.003119290584198565
4171.0,0.0024508711732988725
6315,0.000534735528719754
57668.0,0.003030167996078606
56083.0,0.002941045407958647
50933.0,0.003119290584198565
44488,0.0004901742346597745
24575.0,0.002941045407958647
23387.0,0.003386658348558442
30643.0,0.00267367764359877
RUNNING_SHOP,0.0678222895592888
73017.0,0.0032084131723185243
DIY_STORE,0.0997727374002941
34123.0,0.002762800231718729
87549.0,0.003030167996078606
34123,0.000534735528719754
75108.0,0.002851922819838688
23387,0.0006684194108996925
64292.0,0.003030167996078606
79147.0,0.0028964841138986674
2779.0,0.0025399937614188316
48950.0,0.0028964841138986674
24778.0,0.0025399937614188316
33732.0,0.00356490352479836
37688.0,0.0022726259970589544
55986.0,0.0030747292901385855
19744.0,0.0027182389376587497
26447.0,0.0028073615257787087
70814.0,0.002584555055478811
15975.0,0.0022726259970589544
44155.0,0.0028964841138986674
94420.0,0.002941045407958647
44155,0.00040105164653981553
COOKSHOP,0.14321999910877412
2126.0,0.002584555055478811
39498.0,0.0023617485851789135
51221.0,0.002851922819838688
78049.0,0.002584555055478811
80606.0,0.0033420970544984626
6097.0,0.002762800231718729
89974.0,0.0027182389376587497
51059.0,0.0020943808208190367
75941.0,0.002851922819838688
24032.0,0.0025399937614188316
96804.0,0.002406309879238893
85958.0,0.0024508711732988725
64658.0,0.0029856067020186264
13822.0,0.002762800231718729
62701.0,0.0030747292901385855
47269,0.0003119290584198565
11971.0,0.0028073615257787087
21222.0,0.003030167996078606
25168.0,0.0025399937614188316
HOME_IMPROVEMENT_STORE,0.09776747916759503
24731.0,0.00267367764359877
17098.0,0.002406309879238893
13311.0,0.0024508711732988725
50031.0,0.00267367764359877
82572.0,0.0030747292901385855
14190.0,0.003030167996078606
53016.0,0.003030167996078606
6829.0,0.003119290584198565
7018.0,0.0028073615257787087
PET_SHOP,0.09687625328639543
10300.0,0.0026291163495387906
78056.0,0.0033420970544984626
CHINESE_TAKEAWAY,0.33358584733300656
98271.0,0.00267367764359877
93372.0,0.0021835034089389953
91147.0,0.0031638518782585445
78668.0,0.0024508711732988725
55467.0,0.0025399937614188316
74027.0,0.003297535760438483
29460.0,0.0027182389376587497
83041.0,0.003119290584198565
36501.0,0.00267367764359877
20756.0,0.0031638518782585445
63070.0,0.002762800231718729
48530.0,0.002584555055478811
29305.0,0.0026291163495387906
100658.0,0.002851922819838688
45549.0,0.0026291163495387906
80895.0,0.003030167996078606
42551.0,0.002584555055478811
56235.0,0.0023617485851789135
48058.0,0.0028964841138986674
21775.0,0.0026291163495387906
48058,0.0003119290584198565
2214.0,0.0027182389376587497
46870,0.0003119290584198565
85153.0,0.002584555055478811
6048.0,0.002584555055478811
